2014-05-14,64,57,10,7,0.14,Rain
2014-05-15,65,55,10,3,0, 
2014-05-16,74,40,10,7,0, 
2014-05-17,73,58,10,9,0, 
2014-05-18,74,67,10,8,0, 
2014-05-19,76,65,10,10,0, 
2014-05-20,78,63,10,9,0, 
2014-05-21,80,61,10,8,0, 
2014-05-22,79,70,10,7,0, 
2014-05-23,78,69,8,6,0.19,"Fog , Rain"
2014-05-24,78,79,9,7,0, 
2014-05-25,80,66,10,6,0,Thunderstorm
2014-05-26,70,83,8,5,1.56,"Rain , Thunderstorm"
2014-05-27,68,86,6,3,1.75,"Fog , Rain , Thunderstorm"
2014-05-28,76,74,7,4,0, 
2014-05-29,78,66,10,2,0, 
2014-05-30,81,60,10,3,0, 
2014-05-31,82,63,10,3,0, 
2014-06-01,80,69,8,4,0, 
2014-06-02,83,67,10,7,0, 
2014-06-03,83,67,10,6,0, 
2014-06-04,83,70,10,7,0, 
2014-06-05,83,72,10,7,0, 
2014-06-06,83,70,10,7,0, 
2014-06-07,83,71,10,7,0, 
2014-06-08,83,67,10,7,0,Rain
2014-06-09,77,78,8,4,0.55,"Rain , Thunderstorm"
2014-06-10,78,64,10,3,0, 
2014-06-11,80,64,10,5,0, 
2014-06-12,80,68,9,8,1.49,"Rain , Thunderstorm"
2014-06-13,79,75,-,4,0, 
2014-06-14,92,77,-,6,0, 
2014-06-15,83,-,-,9,0, 
2014-06-16,84,72,-,8,0, 
2014-06-17,84,69,10,9,0, 
2014-06-18,85,68,9,9,0.02,Rain
2014-06-19,84,68,10,6,0.01, 
2014-06-20,83,69,10,5,0, 
2014-06-21,84,72,10,6,0, 
2014-06-22,83,70,9,8,0, 
2014-06-23,78,75,8,4,0.27,"Rain , Thunderstorm"
2014-06-24,84,72,9,4,0.24,"Fog , Rain , Thunderstorm"
2014-06-25,80,77,8,5,0.49,"Fog , Rain , Thunderstorm"
2014-06-26,80,76,10,7,0.01,Rain
2014-06-27,83,69,10,8,0, 
2014-06-28,86,69,10,9,0, 
2014-06-29,86,69,9,9,0, 
2014-06-30,87,64,9,8,0, 
2014-07-01,86,64,10,6,0, 
2014-07-02,85,64,10,4,0, 
2014-07-03,84,62,10,3,0.07,"Rain , Thunderstorm"
2014-07-04,82,67,10,4,0,Thunderstorm
2014-07-05,82,70,10,4,0, 
2014-07-06,84,72,8,5,0, 
2014-07-07,85,61,10,5,0, 
2014-07-08,86,63,10,7,0, 
2014-07-09,85,59,10,6,0, 
2014-07-10,84,64,10,5,0, 
2014-07-11,83,60,10,5,0, 
2014-07-12,85,59,9,4,0, 
2014-07-13,87,63,10,4,0, 
2014-07-14,88,55,10,4,0, 
2014-07-15,83,71,10,3,0.06,"Rain , Thunderstorm"
2014-07-16,84,68,8,4,0.31,"Rain , Thunderstorm"
2014-07-17,82,77,7,5,3.53,"Fog , Rain , Thunderstorm"
2014-07-18,75,87,7,3,1.52,"Rain , Thunderstorm"
2014-07-19,78,76,9,2,0, 
2014-07-20,84,73,9,4,0, 
2014-07-21,87,70,9,6,0, 
2014-07-22,86,68,10,2,0, 
2014-07-23,86,66,9,3,0, 
2014-07-24,84,70,8,3,0.09,Rain
2014-07-25,86,63,10,5,0, 
2014-07-26,87,66,10,6,0, 
2014-07-27,87,64,10,6,0, 
2014-07-28,87,62,10,3,0, 
2014-07-29,87,63,10,4,0, 
2014-07-30,86,60,10,6,0, 
2014-07-31,87,64,10,4,0, 
2014-08-01,82,59,10,5,0, 
2014-08-02,79,70,10,3,0, 
2014-08-03,83,62,10,4,0, 
2014-08-04,83,66,9,3,0, 
2014-08-05,85,61,10,3,0, 
2014-08-06,88,64,10,5,0, 
2014-08-07,90,59,8,6,0, 
2014-08-08,89,60,10,6,0, 
2014-08-09,89,60,10,5,0, 
2014-08-10,89,58,10,4,0, 
2014-08-11,89,62,10,3,0.05,"Rain , Thunderstorm"
2014-08-12,87,62,10,4,0, 
2014-08-13,83,45,10,4,0, 
2014-08-14,84,50,10,4,0, 
2014-08-15,88,58,10,5,0, 
2014-08-16,91,57,10,7,0, 
2014-08-17,90,56,10,6,0, 
2014-08-18,90,59,10,7,0, 
2014-08-19,87,55,10,7,0,Thunderstorm
2014-08-20,90,57,10,8,0, 
2014-08-21,92,55,10,9,0, 
2014-08-22,91,55,10,8,0, 
2014-08-23,88,62,10,6,0, 
2014-08-24,89,59,10,5,0, 
2014-08-25,89,59,10,5,0, 
2014-08-26,89,52,10,4,0,"Rain , Thunderstorm"
2014-08-27,87,58,10,4,0, 
2014-08-28,88,61,10,5,0, 
2014-08-29,87,64,10,5,0.07,"Rain , Thunderstorm"
2014-08-30,85,69,10,4,0, 
2014-08-31,87,68,10,7,0, 
2014-09-01,90,62,10,8,0, 
2014-09-02,88,66,10,8,0.01, 
2014-09-03,88,61,10,6,0, 
2014-09-04,86,65,8,5,0.98,"Fog , Rain , Thunderstorm"
2014-09-05,87,63,10,4,0.02,Rain
2014-09-06,86,67,10,3,0.19,"Rain , Thunderstorm"
2014-09-07,82,78,8,3,0.22,"Rain , Thunderstorm"
2014-09-08,84,70,10,3,0, 
2014-09-09,86,63,10,6,0, 
2014-09-10,88,63,10,7,0, 
2014-09-11,89,60,10,5,0, 
2014-09-12,81,67,9,5,0.51,"Rain , Thunderstorm"
2014-09-13,63,92,5,5,0.68,Rain
2014-09-14,71,87,8,2,0, 
2014-09-15,79,76,9,2,0, 
2014-09-16,84,70,10,3,0.02,"Rain , Thunderstorm"
2014-09-17,83,75,9,3,0.35,"Rain , Thunderstorm"
2014-09-18,81,78,7,2,3.66,"Fog , Rain , Thunderstorm"
2014-09-19,80,85,8,3,0.13,Rain
2014-09-20,82,78,9,3,0.21,Rain
2014-09-21,81,71,10,3,0, 
2014-09-22,81,69,10,4,0, 
2014-09-23,76,57,10,3,0, 
2014-09-24,72,64,10,2,0, 
2014-09-25,73,74,10,3,0, 
2014-09-26,76,71,10,3,0, 
2014-09-27,74,78,10,2,0,Rain
2014-09-28,77,72,8,3,0, 
2014-09-29,78,68,10,2,0, 
2014-09-30,78,70,10,2,0, 
2014-10-01,84,68,10,5,0, 
2014-10-02,84,72,9,7,0.03,"Rain , Thunderstorm"
2014-10-03,75,44,10,7,0,Thunderstorm
2014-10-04,70,51,10,4,0, 
2014-10-05,75,69,10,6,0, 
2014-10-06,81,73,10,6,0, 
2014-10-07,83,67,9,5,0, 
2014-10-08,82,70,10,6,0, 
2014-10-09,84,69,10,7,0,Rain
2014-10-10,84,66,10,7,0, 
2014-10-11,69,85,7,5,1.42,"Fog , Rain"
2014-10-12,69,86,9,2,0.01,"Rain , Thunderstorm"
2014-10-13,69,63,10,10,0.09,"Rain , Thunderstorm"
2014-10-14,66,49,10,5,0, 
2014-10-15,72,46,10,2,0, 
2014-10-16,72,50,10,4,0, 
